Model,VIX_MA_1,VIX_MA_5,VIX_MA_10,VIX_MA_22,VIX_MA_66,Log_VIX_MA_1,Log_VIX_MA_5,Log_VIX_MA_10,Log_VIX_MA_22,Log_VIX_MA_66,SP500_MA_1,SP500_Log_Return_1,SP500_MA_5,SP500_MA_10,SP500_MA_22,SP500_MA_66,SP500_Log_Return_5,SP500_Log_Return_10,SP500_Log_Return_22,SP500_Log_Return_66,SP500_Volume_Change,Log_Oil_Price,USD_Change,Term_Spread
Model_11,0.4889447214604659,-0.19005602294229515,0.949834204139158,-0.519987827543888,0.19526168016330978,-0.20800544994724735,5.282292710545461,-15.207420843579147,11.412389240410192,-0.7414957959844896,5.980299038207599,-5.903707842775232,17.198872371654794,-8.848378736293672,2.5684827484548465,-13.974033254320949,-17.330481693207204,8.816148262667195,-2.5570940746965,14.050923218525602,-0.03308765662725489,0.24835882048070002,-0.014369938983112538,-0.3746914871340949
Model_12,0.4695635292597208,-0.1610117822732225,1.0099577817848486,-0.6374205028744518,0.24251377004243543,-0.09781330843880182,5.753662063271339,-17.50398039022427,13.827666368114814,-1.4385701918455212,8.885373071829463,-8.917385228578288,8.936159543951547,-5.270885733340039,3.2729838202596633,-15.248163820880258,-9.048622755663787,5.279418069112174,-3.286436388313176,15.325429283879023,-0.08062770889187881,0.26331021644608665,-0.006306275449455558,-0.39841061727094274
Model_13,0.5105134983097086,-0.14725930129582807,1.0294412480825266,-0.7482041452683854,0.27993309858634474,-1.2819248807948547,6.867178175271771,-19.067693064503153,16.121687630629552,-2.103595725458333,8.423823534199432,-8.507961953675041,4.747352394655738,-2.261508505244151,2.315308221173503,-16.025214290163962,-4.8069754479213005,2.3091921998947336,-2.3081802070667616,16.09806587329243,-0.038451990446788285,0.2856419878707712,0.00036669161118725417,-0.4149315302099515
Model_14,0.623755683790968,-0.13256011549500715,0.9525355823856717,-0.8421361280084094,0.3227500716155712,-2.938451534297545,6.86838880843862,-18.509626387383193,17.958463500000743,-2.842024247350138,8.924869268754255,-8.96748142995291,-2.6781248213787467,-0.007157733806704314,3.6602352118435517,-16.910937582297557,2.706516035429363,0.06611605284532357,-3.6535072344015966,16.98700907481862,0.037266621736894344,0.30894708483981675,0.0120146498576519,-0.4297460681702598
Model_15,0.5371060167476237,0.11505352167232089,0.787813818684614,-0.8797638519537535,0.36252435344481077,-0.8439269942755543,1.918036163918042,-15.57544532172216,18.50861107184755,-3.4589510562170678,3.5024110992052346,-3.561574935008153,-0.520061128463847,-2.383548052913951,5.318536349973478,-17.88086813666021,0.5957443102032856,2.463423990666736,-5.325161998980136,17.968175717360335,-0.0011218301375375246,0.3294362574537043,0.043468836777792896,-0.44775674428090095
Model_16,0.419647777893226,0.39924127773658485,0.5842062827786715,-0.8945948908715866,0.4079183791078501,1.349341567733398,-3.3772590443359247,-11.761933353270056,18.523718694892978,-4.141559454900427,1.2132753315154088,-1.2957865219163969,0.21646379448288777,-2.499464783167314,6.963237742646248,-19.098240863966367,-0.11248177527591796,2.6084296822963493,-6.981992037557833,19.204118113779003,-0.00652513026706143,0.3499042548961992,0.028165672418822604,-0.4663856604531372
Model_17,0.4974234386760609,0.40693579465375335,0.4994231712866234,-0.9471952005651272,0.4529637506388074,0.2801996054951152,-4.250139340630885,-9.633188646125973,19.030961037014904,-4.787719908942477,4.2240419645095,-4.270827445803595,2.6813982405325647,-5.561221821888935,8.9922614538708,-20.19104361131147,-2.545129244219458,5.716939211064547,-9.019576936490424,20.30707563237144,-0.005660502301039988,0.3689742528606567,-0.004336338779886273,-0.48143037799311666
Model_18,0.6611231898338634,0.22818787784170214,0.5204773646713942,-1.003420163955413,0.4971624635060918,-2.1713272031580964,-2.5038582965591947,-8.934649366238123,19.587471070771535,-5.295380905055496,-5.0924616151631135,5.086454128932488,11.61827656175512,-12.045012021677183,13.334017978252229,-21.66172776999626,-11.450314954896282,12.192465887865055,-13.399619547814526,21.81190763481529,0.0247431105338337,0.38776085987349357,-0.012619468096723683,-0.49722376236039434
Model_19,0.7822849382840474,0.03703906718755019,0.5900695200170644,-1.0712223057419035,0.5565007635364172,-3.69048285869517,-0.7028201526960627,-8.984581239005868,20.15892753813529,-6.036994624697232,0.3090709465253189,-0.25719704070757893,13.247135094845513,-16.60714832619758,18.642181545987295,-23.73819039881694,-13.042504305137413,16.712193594188815,-18.71189523142152,23.923707050079507,0.017106031405015727,0.4033792894001572,-0.031899157124580545,-0.5138596400006371
Model_20,0.7489725120514393,-0.020407683207548988,0.6569120327288906,-1.1149873075496854,0.6163951765483823,-3.371394638645307,-0.6957792785724946,-8.694901389640407,20.228763783960883,-6.6679944207818,-2.5204744597829194,2.609962203231826,13.176301982995328,-18.090349638189593,24.31152812753823,-26.325643774047123,-13.008144847242727,18.110314960382386,-24.377310456680977,26.54775154725045,0.005136818912955983,0.41519872380824396,-0.0500325946599986,-0.5408733213169737
