Date,Projected Residuals,Model Residuals,Error
1993-04-22 00:00:00,-7.606681495656188,-7.606681495656188,0.0
1993-04-23 00:00:00,0.22897338603801387,0.5436937658740391,-0.3147203798360252
1993-04-26 00:00:00,1.1299512689697888,1.788505591159911,-0.6585543221901222
1993-04-27 00:00:00,-1.760898706966458,-1.2881233648440826,-0.47277534212237526
1993-04-28 00:00:00,-1.1521029987219809,-0.7640743698563206,-0.38802862886566025
1993-04-29 00:00:00,-0.7369400673452446,-0.424602178513549,-0.31233788883169566
1993-04-30 00:00:00,-0.7876153221665056,-0.5376069215818173,-0.2500084005846883
1993-05-03 00:00:00,0.09953496929824368,0.2996420628925609,-0.20010709359431722
1993-05-04 00:00:00,-1.0739176357099964,-0.914865008047343,-0.15905262766265338
1993-05-05 00:00:00,-0.04511280707112242,0.08223943143408086,-0.12735223850520327
1993-05-06 00:00:00,0.5627846494074991,0.6641883947818421,-0.10140374537434305
1993-05-07 00:00:00,-0.38378701242478463,-0.3032074578760646,-0.08057955454872001
1993-05-10 00:00:00,0.5871464228210339,0.6513872234788742,-0.06424080065784032
1993-05-11 00:00:00,-0.45871500998138437,-0.40762060450977344,-0.051094405471610926
1993-05-12 00:00:00,0.1418142567564633,0.18254328673225118,-0.04072902997578787
1993-05-13 00:00:00,1.1174970333578003,1.1499308257573322,-0.032433792399531924
1993-05-14 00:00:00,-0.36766593874357234,-0.34186536462224737,-0.02580057412132497
1993-05-17 00:00:00,-0.22803464875049428,-0.2074769449464693,-0.020557703804024996
1993-05-18 00:00:00,0.030077680127082118,0.04645524071250762,-0.0163775605854255
1993-05-19 00:00:00,0.05206529197123011,0.06511034911302183,-0.013045057141791716
1993-05-20 00:00:00,-0.3529665406772846,-0.3425759225224283,-0.010390618154856313
1993-05-21 00:00:00,0.4678882559801316,0.47616586778530134,-0.008277611805169727
1993-05-24 00:00:00,-0.4611586217972299,-0.45456608470327,-0.006592537093959905
1993-05-25 00:00:00,-0.10850605220220011,-0.10325425994361837,-0.0052517922585817445
1993-05-26 00:00:00,-1.2424775040317382,-1.2382941512886525,-0.004183352743085678
1993-05-27 00:00:00,0.06871960877263206,0.07205243929947791,-0.0033328305268458536
1993-05-28 00:00:00,0.18003001861416656,0.18268473460513057,-0.0026547159909640072
1993-06-01 00:00:00,0.06999955107372102,0.0721141066878257,-0.002114555614104674
1993-06-02 00:00:00,-0.279180546614036,-0.277496223907157,-0.0016843227068790156
1993-06-03 00:00:00,-0.028904618656039105,-0.0275629629278189,-0.0013416557282202035
1993-06-04 00:00:00,-0.7752660011286423,-0.7741973148991619,-0.00106868622948042
1993-06-07 00:00:00,1.08139279206517,1.0822440703789233,-0.000851278313753312
1993-06-08 00:00:00,0.5829744299101645,0.5836524863793464,-0.0006780564691819535
1993-06-09 00:00:00,-0.7548215212087435,-0.7542814285294455,-0.0005400926792979988
1993-06-10 00:00:00,-0.6578792758135901,-0.6574490631920469,-0.0004302126215431912
1993-06-11 00:00:00,-0.7060811861819118,-0.7057385004071524,-0.000342685774759488
1993-06-14 00:00:00,-0.5498860463953079,-0.5496130805111008,-0.0002729658842071103
1993-06-15 00:00:00,-0.5473428498388291,-0.5471254199493565,-0.0002174298894725979
1993-06-16 00:00:00,-0.34365869862606147,-0.343485505904054,-0.0001731927220074425
1993-06-17 00:00:00,-0.433132232194243,-0.432994276665406,-0.00013795552883699713
1993-06-18 00:00:00,0.3637741223350197,0.36388400990928815,-0.00010988757426844131
1993-06-21 00:00:00,-0.16030632888555374,-0.16021879896796776,-8.752991758598228e-05
1993-06-22 00:00:00,-0.7217885454161568,-0.721718824146313,-6.972126984372551e-05
1993-06-23 00:00:00,0.23573501468293934,0.23579055068582555,-5.5536002886213964e-05
1993-06-24 00:00:00,0.05584276223914664,0.05588699896423677,-4.423672509012988e-05
1993-06-25 00:00:00,-1.1064633008198559,-1.1064280644239002,-3.523639595570671e-05
1993-06-28 00:00:00,-0.2940012401780159,-0.2939731728780117,-2.806730000415314e-05
1993-06-29 00:00:00,-0.02945161840508881,-0.02942926162184456,-2.235678324424839e-05
1993-06-30 00:00:00,-0.2122700502065431,-0.21225224209455007,-1.7808111993034004e-05
1993-07-01 00:00:00,0.0911840286884047,0.09119821359526625,-1.4184906861558488e-05
1993-07-02 00:00:00,-0.31630405436873055,-0.31629275549851066,-1.1298870219889068e-05
1993-07-06 00:00:00,2.4132485715726073,2.413257571595775,-9.000023167615723e-06
1993-07-07 00:00:00,-0.8034240434441564,-0.8034168745553671,-7.168888789266248e-06
1993-07-08 00:00:00,-0.7193099773710312,-0.7193042670505356,-5.710320495566634e-06
1993-07-09 00:00:00,-1.4897630750638786,-1.48975852655445,-4.548509428659031e-06
1993-07-12 00:00:00,-0.13556184043854813,-0.13555821735994833,-3.623078599801488e-06
1993-07-13 00:00:00,-0.07506625292946367,-0.07506336699599281,-2.885933470864188e-06
1993-07-14 00:00:00,-0.43977132972473676,-0.4397690309581783,-2.2987665584395245e-06
1993-07-15 00:00:00,-0.3673340625085899,-0.3673322314449532,-1.8310636367147026e-06
1993-07-16 00:00:00,0.16275180703135916,0.1627532655500552,-1.4585186960403007e-06
1993-07-19 00:00:00,0.3314744786020505,0.33147564037309607,-1.1617710455880115e-06
1993-07-20 00:00:00,-0.5168524679888016,-0.5168515425896558,-9.253991457569555e-07
1993-07-21 00:00:00,0.8150961547271098,0.815096891846192,-7.371190822169638e-07
1993-07-22 00:00:00,-0.3564503958789267,-0.35644980873280474,-5.871461219442153e-07
